query,EDUC,SEX,RACE,avg_inctot
avg INCTOT (overall),ALL,ALL,ALL,30442.0
avg INCTOT | EDUC,40,,,6102.632783882784
avg INCTOT | EDUC,50,,,8801.265488299408
avg INCTOT | EDUC,60,,,8098.631832978475
avg INCTOT | EDUC,71,,,11148.647186147185
avg INCTOT | EDUC,73,,,23181.919156633252
avg INCTOT | EDUC,81,,,26363.946492168798
avg INCTOT | EDUC,91,,,32522.62010330795
avg INCTOT | EDUC,92,,,32066.4463809459
avg INCTOT | EDUC,111,,,48499.236949307946
avg INCTOT | EDUC,123,,,58782.81143543099
avg INCTOT | EDUC,124,,,76467.67676767676
avg INCTOT | EDUC,125,,,70032.14285714286
avg INCTOT | RACE,,,100,31716.203472692316
avg INCTOT | RACE,,,200,22016.83867561426
avg INCTOT | RACE,,,300,21163.14192343604
avg INCTOT | RACE,,,651,33976.909887826674
avg INCTOT | RACE,,,652,28051.5873015873
avg INCTOT | RACE,,,801,24380.95238095238
avg INCTOT | RACE,,,802,25988.383838383837
avg INCTOT | RACE,,,803,25666.666666666668
avg INCTOT | RACE,,,804,36666.666666666664
avg INCTOT | RACE,,,805,10000.0
avg INCTOT | RACE,,,806,110000.0
avg INCTOT | RACE,,,807,30000.0
avg INCTOT | RACE,,,809,22500.0
avg INCTOT | RACE,,,810,64000.0
avg INCTOT | RACE,,,813,15666.666666666666
avg INCTOT | RACE,,,820,10000.0
avg INCTOT | SEX,,1,,38372.91732738706
avg INCTOT | SEX,,2,,23076.297695809604
